product_name,energy_100g,sugars_100g,fat_100g,saturated_fat_100g,proteins_100g,salt_100g,sodium_100g,fiber_100g,carbohydrates_100g,trans_fat_100g,cholesterol_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g,potassium_100g,nova_group,additives_n,ingredients_from_palm_oil_n,nutrition_grade
Obazda klassisch,1357.0,1.5,29.0,19.0,13.0,1.7,0.68,,3.0,,,,,,,,3.0,0.0,0.0,d
Apérifruits - L' Exotique,1735.0,58.0,14.0,12.0,2.0,0.22,0.088,5.7,67.0,,,,,,,,4.0,1.0,0.0,e
Greek Style Honey,591.2,13.7,7.8,4.8,4.1,0.13,0.052,,13.7,,,,,0.133,,,3.0,0.0,0.0,c
pur jus pomme mangue,203.0,9.6,0.0,0.0,0.0,0.0,0.0,0.63,11.0,,,,3e-05,,,,1.0,0.0,0.0,c
Hand-Cooked Crisps Lightly Sea Salted,2164.75,0.5,29.25,2.5,7.0,0.6375,0.255,6.75,53.5,,,,,,,,3.0,0.0,0.0,c
Creamy Original Flavour,987.0,0.0,23.0,21.0,0.0,1.2,0.48,,8.0,,,,,,,,4.0,1.0,0.0,d
GREEK STYLE STRAWBERRY RASPBERRY,340.0,8.0,2.7,0.5,4.9,0.725,0.29,1.3,9.1,,,,,0.096,,,4.0,6.0,0.0,c
Sobrasada,2344.0,0.5,60.0,20.0,7.3,2.4,0.96,,0.5,,,,,,,,4.0,2.0,0.0,e
American Style Cream & Onion 10rs,2246.0,3.4,33.1,12.5,6.7,1.6075,0.643,,53.0,0.1,,,,,,,4.0,3.0,0.0,e
Merluza empanada,704.0,0.5,6.9,2.5,10.3,0.72,0.288,,16.3,,,,,,,,4.0,3.0,0.0,c
Original Philadelphia XL,941.9,4.3,21.0,14.0,5.4,0.75,0.3,,4.3,,,,,,,,3.0,1.0,0.0,d
Baked Beans,360.1,4.7,0.6,0.1,4.6,0.6,0.24,5.9,12.5,,,,,,,,4.0,0.0,0.0,a
Napolina lentils in water,362.0,0.1,0.7,0.3,6.1,0.05,0.02,7.82,10.0,,,,,,,,4.0,2.0,0.0,b
Craquant norvegien Graines de courge,2033.0,1.9,27.2,3.4,18.0,1.0,0.4,14.0,35.8,,,,,,,,3.0,0.0,0.0,c
Tiger Bloomer,1029.31034482759,4.82758620689655,1.72413793103448,0.172413793103448,8.27586206896552,0.982758620689655,0.393103448275862,3.44827586206897,46.8965517241379,,,0.0,0.0,,0.0,,4.0,4.0,0.0,c
Gourmand & Végétal Brassé Nature,310.5,0.3,4.9,4.1,0.6,0.09,0.036,,7.0,,,,,0.12,,,4.0,1.0,0.0,c
Tofu mariné à la japonaise,569.3,1.6,7.6,1.2,13.0,1.1,0.44,3.5,2.3,,,,,,,,3.0,0.0,0.0,b
Mini gallette,1858.4,2.6,13.2,1.0,13.4,1.0,0.4,5.5,64.6,,,0.0,0.0,,0.0,,3.0,0.0,0.0,b
Haricot verts,84.0,0.5,0.1,0.1,1.6,0.58,0.232,3.5,1.5,,,,,,,,3.0,0.0,,a
12 Crunchy Taco Shells,2126.0,1.0,27.0,2.3,5.4,0.05,0.02,3.6,59.2,,,,,,,,3.0,0.0,0.0,c
The wholemeal Rustic Bloomer,949.189189189189,3.51351351351351,1.35135135135135,0.540540540540541,10.8108108108108,2.41891891891892,0.967567567567567,7.2972972972973,38.6486486486486,,,,,,,,3.0,2.0,0.0,d
Color loops,1535.6,19.8,1.6,0.1,3.6,0.7,0.28,6.9,80.0,,,,,,,,4.0,0.0,0.0,c
Zarte Filets vom Hering in Tomaten-Creme,906.0,4.5,16.1,2.7,12.0,0.98,0.392,,5.2,,,,,,,,4.0,2.0,0.0,c
Falafels de pois chiches cumin menthe,1122.0,3.3,13.3,1.6,6.7,0.9,0.36,5.5,27.7,,,,,,,,3.0,0.0,0.0,b
Yaourts aux Fruits 0% de Matières Grasses,201.0,5.6,0.5,0.1,4.5,0.2,0.08,0.5,6.1,,,,,0.14,,,4.0,11.0,0.0,a
Penne rigate,1473.0,0.0,0.16,0.0,11.2,0.0,0.0,0.0,76.5,,,,,,,,,,,a
HEUDEBERT La braisor cuisson à  moule ouvert,1717.8,4.6,7.8,3.5,12.0,1.67,0.668,4.4,70.0,,,,,,,,4.0,1.0,1.0,d
Le Pain Blanc Italien,1082.0,7.5,2.5,0.3,8.0,1.2,0.48,,50.0,,,,,,,,4.0,5.0,0.0,c
Brown rice cake,1640.2,7.0,3.8,0.5,8.8,1.3,0.52,3.0,78.0,,,,,,0.0007,,3.0,0.0,0.0,d
In a rich tomato sauce,338.0,4.3,0.4,0.05,4.8,0.6,0.24,3.9,15.5,,,,,,,,4.0,0.0,0.0,a
6 Soft Brown Sliced,1069.85,4.0,2.75,1.0,10.0,0.955,0.382,3.5,45.3,,,0.0,0.0,,0.0,,4.0,7.0,0.0,c
Furrows Sea Salted imp,2185.0,0.4,30.9,3.3,6.7,1.0,0.4,6.2,52.8,,,,,,,,3.0,0.0,0.0,c
Organic Soya Unsweetened U.H.T.,131.2,0.0,1.9,0.3,3.3,0.03,0.012,0.6,0.0,,,,,,,,1.0,0.0,0.0,b
Crunchy Muesli Fruit,1781.0,27.0,12.0,4.8,7.6,0.34,0.136,6.5,68.0,,,,,,,,4.0,2.0,0.0,d
sesame gallette buone,1730.0,3.5,10.0,1.2,12.0,1.28,0.512,6.0,64.3,,,0.0,0.0,,0.0,,3.0,0.0,0.0,c
Mutti Passata,149.0,4.5,0.5,0.1,1.6,0.5,0.2,,5.1,,,,,,,,3.0,0.0,0.0,a
Boisson biologique à base de coco,294.0,4.6,1.8,1.6,0.1,0.1,0.04,,13.0,,,,,,,,3.0,0.0,,e
Juver Disfruta Pera Pina,100.600000105798,4.3000001907349,0.10000000149012,0.0,0.20000000298023,0.0099999997764826,0.004,,5.5,,,,,,,,4.0,4.0,,d
Gnocchi à poêler aux pommes de terre BIO,912.0,1.3,3.0,0.4,5.9,1.0,0.4,,40.0,,,,,,,,3.0,0.0,0.0,c
AUTHENTIC GREEK YOGURT NATURAL,260.7,3.2,0.2,0.1,10.0,0.05,0.02,0.5,4.9,,,,,,,,1.0,0.0,0.0,a
Arroz largo,1472.0,0.3,0.8,0.3,6.5,0.1,0.04,,78.0,,,,,,,,1.0,0.0,0.0,c
Light,1380.0,0.0,35.0,5.0,0.0,2.0,0.8,0.0,5.0,,,,,,,,4.0,5.0,0.0,d
Lightly Salted Rice Cakes,136.0,0.0,0.0,0.0,1.0,0.0375,0.015,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.00111111111111111,0.03,3.0,0.0,0.0,a
Bio Erdnussmus,2621.0,4.3,51.0,11.0,29.0,0.0,0.0,11.0,9.0,,,,,,,,1.0,0.0,0.0,a
White tiger bloomer,1242.28070175439,3.85964912280702,7.01754385964912,0.87719298245614,8.07017543859649,,,3.15789473684211,48.2456140350877,,,,,,,,4.0,7.0,0.0,unknown
Tesco Tahini,2777.0,1.7,59.9,9.6,25.0,0.1,0.04,7.5,4.5,,,,,,,,,0.0,0.0,d
Thé vert saveur citron vert gingembre,5.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,,,,,,,,4.0,0.0,0.0,unknown
Buttersoft,3048.0,5.0,79.0,35.0,0.0,0.975,0.39,5.0,5.0,,,,,,,,2.0,0.0,0.0,e
Lentil & Vegetable,175.1,2.1,0.2,0.0,2.0,0.63,0.252,1.2,7.3,,,0.0,0.0,,0.0,,3.0,1.0,0.0,b
